"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"E-MTAB-6362.aggregated_filtered_normalised_counts.mtx","sc_normalized",327,24826,3,327,0,99.0825688073395,31.4831225328285,97.5791508901958,62.4137390734928,99.8831869813905,100,0.968969165473592,2.45204347916424e-199,-0.833531153139285,0,4.65981365512755,4.96263933891319,-29.7332148403102,17.638708967286,5.99526650623442,2.52876723410751,8.26312000842653,10.4414030297913,-1.56656799344749,0.0736434768729582,0.0434942247268204,NA,123,1.80723139302541,NA,-2.14250776932091,0.132948927035153,0.750974286712341,123,1.97689802045209,3.61682523071326,123,200,1224534,0
"E-MTAB-6379.aggregated_filtered_normalised_counts.mtx","sc_normalized",118,17405,3,118,0,97.4576271186441,32.5136455041655,87.704682562482,77.5422998456512,99.8218902614191,100,-0.398605638082776,7.80014811836301e-06,-0.455055157606331,0,3.83637018819193,3.4445282616444,-27.5485972268548,16.9285021827842,17.1674245728944,5.49012425618357,16.5690640174377,3.25185929685175,-0.519944970020754,0.0439490570073157,0.0252691294439314,NA,123,0.105695273326979,NA,-0.949575811579758,0.142609970732776,0.81999759214879,123,3.78987839236677,2.8099522847636,NA,118,250414,0
"E-MTAB-6385.aggregated_filtered_normalised_counts.mtx","sc_normalized",375,23286,3,375,0,99.2,41.7375246929486,75.8782100833119,52.2083540897249,96.0190672507086,100,0.813887670034935,5.60459332677083e-90,-0.828553577375481,0,4.20397929100356,4.63413523880506,-28.7158514301345,15.9819360914601,8.86298760214856,1.73183476744747,9.03154834180212,8.8058465244848,-1.40528291705222,0.0483542786617559,0.0277214914128719,NA,123,1.8251136812096,NA,-1.51684723365245,0.127061556197367,0.826079666707195,123,0.781806246726871,1.13284879493469,123,200,2023928,0
"E-MTAB-6386.aggregated_filtered_normalised_counts.mtx","sc_normalized",117,17138,3,117,0,97.4358974358974,59.1725989030225,93.3364453261757,78.4965783040237,99.8016104562959,100,0.863764000218813,5.0380059320549e-36,-0.419876325393749,0,3.65298077568845,3.74933817653424,-28.8127541424697,19.6141132821504,11.180728931516,6.62894568633451,13.9124241742692,4.47664238052507,-0.806216156756436,0.0938623917714404,0.0372395208116054,NA,123,0.0608811164357651,NA,-1.73663996477839,0.162280124038512,0.891341911465725,123,2.74395189517848,7.28017468488413,NA,98,167879,0
"E-MTAB-6487.aggregated_filtered_normalised_counts.mtx","sc_normalized",11736,16102,3,11732,0.0340831629175187,99.9744376278119,69.3516333374736,97.8263569742889,91.7471686124677,100,100,0.894269534993278,0,-0.445809470385549,0,8.46208641077165,8.37075818865834,-15.2091868684707,19.1098797411833,1.95356435725148,0.967346742717151,2.72660461117055,24.1713156934312,-1.80496821368829,0.13490795940403,0.0527588523625067,NA,123,1.27977081320014,123,-10.7928265302612,0.631984118411975,0.651006834569605,123,1.39939440077501,1.2088535699435,123,178,482938,0
"E-MTAB-6505.aggregated_filtered_normalised_counts.mtx","sc_normalized",8778,18772,3,8745,0.37593984962406,99.9658236500342,66.5672277860644,97.7572981035585,89.7469439002461,100,100,0.990938867871546,0,-0.328075752104769,0,7.99381429900672,7.90521802379064,-15.185862625692,17.3577070591993,2.02420278861087,1.18331441711185,2.79887975020114,19.1450167534626,-1.53118877584554,0.144974644618711,0.0529736896179718,NA,123,1.41105834427179,123,-4.08570358845531,0.256382083963532,0.680856679290958,123,1.12089088397932,4.05333188686997,123,175,520632,0
"E-MTAB-6524.aggregated_filtered_normalised_counts.mtx","sc_normalized",10879,21342,3,10879,0,99.9724239360235,68.3675381876113,96.9637334832724,85.1285830782959,99.9625152281886,100,0.994361229176501,0,-0.572106196828481,0,7.37941320729337,7.23069537739519,-14.9298594024344,13.938023659062,1.89986679732075,0.474824424023042,2.20441759812666,13.0159064238862,-0.451921948558812,0.117718617178612,0.0401019802350856,NA,123,0.0716770942908338,123,-5.0141575468219,0.339695163417342,0.786144321064115,123,0.853307471517528,2.65016420915784,123,197,804234,0
"E-MTAB-6653.aggregated_filtered_normalised_counts.mtx","sc_normalized",32341,23979,3,32202,0.429794997062552,99.9907238489843,54.0848242211935,99.6288419033321,92.635486701328,100,100,0.951626673016313,0,-0.506367696314476,0,7.68350393268997,7.66559302090789,-17.649743842323,19.5246895778847,2.40881834719807,2.15344121302974,3.86593771099833,8.62267729338429,-0.731856824131411,0.185704701545306,0.0562795643895527,NA,123,0.784256427117541,123,-1.4092781300476,0.0771201640541527,0.637348968588056,123,1.09501790217962,3.58392584418759,123,183,1983205,0
"E-MTAB-6677.aggregated_filtered_normalised_counts.mtx","sc_normalized",2992,16598,3,2990,0.0668449197860962,99.8997326203209,57.597300879624,97.2828051572479,81.2846628644776,100,100,0.986502172081515,0,-0.634373187135198,0,7.16797115409435,6.85977106464085,-15.8147326679736,16.8922128886048,1.96784042433791,0.634638872063999,2.36615593095018,12.3280942840506,0.0141827182118155,0.133876203819932,0.0495191828824725,NA,123,2.17616037588555,123,-7.17049883500919,0.459967381540054,0.81710621189472,123,0.953812611258339,4.25195000269171,123,195,329961,0
"E-MTAB-6678.aggregated_filtered_normalised_counts.mtx","sc_normalized",7468,37354,3,7467,0.0133904659882164,99.9598286020353,71.8718209562564,99.5475718798522,87.4499185674408,100,100,0.527875582717459,0,-0.132904880787882,8.76785789519475e-147,4.71724347883965,4.50335856301684,-26.9810445656404,19.8898335907425,9.72370616439054,4.91867198614793,10.107901871596,10.8918082896315,-1.42036823967249,0.032321180600811,0.019323566390707,NA,123,1.34373629800984,123,-2.97938437703024,0.0956184386067895,0.763582883210311,123,3.08776435127364,9.829157121673,123,187,14910886,0
"E-MTAB-6701.aggregated_filtered_normalised_counts.mtx","sc_normalized",99647,26982,3,99179,0.469657892360031,99.9969893724849,65.9031947224075,99.1549922170336,90.7905818145124,100,100,0.983252159356574,0,-0.325053865324594,0,7.14865659572686,6.99548270985438,-16.9726208734156,19.1631019874663,2.30261054246358,1.67520476873133,3.64566243743765,5.59745411649159,-0.130813849412173,0.173186355031043,0.0580590345025465,NA,123,1.056628970374,123,-1.08902225714458,0.0773918944514529,0.660579088426836,123,1.7878974762346,3.61958717510625,123,179,7005082,0
"E-MTAB-6818.aggregated_filtered_normalised_counts.mtx","sc_normalized",56,15715,3,56,0,94.6428571428571,38.8609608654152,95.1384027998727,65.681332666697,99.9427298759147,100,0.759466848940533,0,-0.551428126849127,0,5.1416701173283,5.30680919922448,-28.7713292254225,18.6876033421523,7.93202870351906,4.44864989670284,8.31675448810121,7.62430421559665,-1.03794082353519,0.0732342712608376,0.0516447564057464,NA,123,0.109360194910836,NA,-3.26543428514912,0.27865321666969,0.869949619377174,123,2.41660772784494,6.35450322562549,NA,54,114586,0
"E-MTAB-6819.aggregated_filtered_normalised_counts.mtx","sc_normalized",1343,30311,3,1343,0,99.7766195085629,47.329352380324,98.6473557454389,70.2464618893839,99.9901026030154,100,0.825142033900334,0,-0.71788476973497,0,4.40904033987312,4.73234681418973,-28.6141411690077,18.3248452714109,8.83555569629574,2.80526540562484,9.59595243413704,10.2313501908236,-1.57215429167918,0.0890329113410343,0.040470681222017,NA,123,1.50051766596762,123,-1.78783755930823,0.126395384831857,0.851170425663018,123,1.31512477490127,2.72265851832314,123,200,3545817,0
