"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"E-ATMX-20_A-AFFY-2-normalized-expressions.tsv","microarray",6,20361,6,6,0,0,0,0,0,0,0,NA,NA,NA,NA,2.26465818737985,2.30501451141959,0.978143604320695,3.78661706131603,0.360063313169036,0.00423750035384944,0.362788097726516,-1.11115477819416,0.0493454988795477,0.546982186452648,0.151867972461113,1.24089323136079,123,1.00847493213761,NA,0.0396185099304013,-0.00869039912676278,0.876650146944847,123,NA,NA,NA,NA,114758,0
"E-ATMX-25_A-AFFY-2-normalized-expressions.tsv","microarray",9,20361,9,9,0,0,0,0,0,0,0,NA,NA,NA,NA,2.03934365249609,2.14995522928586,0.413262710933932,3.66239795482039,0.542854916417875,0.00930317380357523,0.546818529581327,-1.23642895593165,-0.0970446351806107,0.803065517212171,0.0885793087829477,1.46489110052457,123,5.80415366469961,NA,0.147909542516356,-0.0375918237348153,0.828029962282152,123,NA,NA,NA,NA,141424,0
"E-ATMX-26_A-AFFY-2-normalized-expressions.tsv","microarray",6,20361,6,6,0,0,0,0,0,0,0,NA,NA,NA,NA,2.04248405505983,2.11514093735457,0.523077348563806,3.66202785548734,0.500582415644254,0.00401664365019124,0.501354216547778,-1.23013556561093,-0.0134247507602631,0.718518875663331,0.0829067846920659,1.31195310989294,123,2.84891714203482,NA,0.0442837705123812,-0.011673489262128,0.883162606503118,123,NA,NA,NA,NA,114068,0
"E-ATMX-27_A-AFFY-2-normalized-expressions.tsv","microarray",18,20361,18,18,0,0,0,0,0,0,0,NA,NA,NA,NA,2.08484211683514,2.21054453786524,0.188354406392983,3.65959481221956,0.517437802830076,0.00840192537394793,0.513919136777108,-1.20554115979348,-0.152958488090465,0.546233251108446,0.0970295054679663,0.904998257381428,123,1.89154529437584,NA,0.0742301054440214,-0.0194785738381796,0.747505290124995,123,NA,NA,NA,NA,342064,0
"E-ATMX-34_A-AFFY-2-normalized-expressions.tsv","microarray",6,20361,6,6,0,0,0,0,0,0,0,NA,NA,NA,NA,1.76147587824713,1.62850418948293,0.661227777017121,3.69261559470994,0.266189282604437,0.0147749197762445,0.273934012141654,-0.08024623489491,0.800569625215905,0.578185921945533,0.180602701164458,1.24584008241298,123,1.77152350358048,NA,0.144507007951143,-0.0318133951496485,0.873733670238396,123,NA,NA,NA,NA,113196,0
"E-ATMX-6_A-AFFY-2-normalized-expressions.tsv","microarray",9,20361,9,9,0,0,0,0,0,0,0,NA,NA,NA,NA,2.67089737094305,2.74964164205588,1.60346025190796,3.85539289147638,0.241848064814056,0.00342006709745964,0.242572972698941,-1.13385514461872,-0.108939238786369,0.460124355457033,0.255783873257482,1.23818412504471,123,1.31770275100796,NA,0.0740387150153756,-0.013534917079629,0.889783292256914,123,NA,NA,NA,NA,152794,0
"E-CBIL-26_A-AFFY-6-normalized-expressions.tsv","microarray",28,7734,28,28,0,0,0,0,0,0,0,NA,NA,NA,NA,2.38575742194056,2.46772628864919,0.881853100737941,3.68293458530439,0.239530583105309,0.00397742241783115,0.233337765138999,-0.436394157340856,-0.483044668360684,0.361919879716932,0.135547328017386,1.12719679286993,123,1.12471747461894,NA,0.000945997358377676,-0.000665668619026584,0.843905789350162,123,NA,NA,NA,NA,216546,0
"E-CURD-115_A-AFFY-44-normalized-expressions.tsv","microarray",8,21294,8,8,0,0,0,0,0,0,0,NA,NA,NA,NA,2.83651187828283,2.8659474503552,1.35825342565924,3.82420408813589,0.16855976916695,0.000482642088950794,0.169541108459743,0.333590286423624,-0.592765506541307,0.272160810777644,0.215333321539919,1.01307575858213,123,1.30624874967545,NA,-0.00237798020235152,0.000266146042523522,0.918431402739507,123,NA,NA,NA,NA,159675,0
"E-CURD-116_A-AFFY-45-normalized-expressions.tsv","microarray",8,18870,8,8,0,0,0,0,0,0,0,NA,NA,NA,NA,2.8095077553006,2.85508055905636,1.48621264363549,3.80297789328792,0.116792133872653,0.000494225041951408,0.116186191015184,0.951780790895404,-0.779347709710864,0.323111066667725,0.236993014116984,1.15402590045377,123,1.22012034957336,NA,-0.00323409025626995,0.000418833755410598,0.928448790673073,123,NA,NA,NA,NA,140706,0
"E-CURD-59_A-AFFY-43-normalized-expressions.tsv","microarray",765,18106,765,765,0,0,0,0,0,0,0,NA,NA,NA,NA,2.71834783887638,2.74873534831306,1.48721255319542,3.90492694666429,0.209708835253483,0.0045509010504415,0.208545106393203,-0.743134534662826,-0.0884734862124022,0.787031293453338,0.0283229869868543,1.39523365088777,123,10.3815585297674,NA,0.00715695584310551,-0.00043287163342665,0.842167039590516,123,NA,NA,NA,NA,12856229,0
"E-CURD-60_A-AFFY-43-normalized-expressions.tsv","microarray",432,18106,432,432,0,0,0,0,0,0,0,NA,NA,NA,NA,2.7119067450265,2.74276618915338,1.47635169584069,3.89510157874025,0.210057223226834,0.00447028877234015,0.209952380527551,-0.725666733366498,-0.0935000088627007,0.838095824312912,0.0223053039332086,1.56698219660113,123,16.2391216099189,NA,0.0988419645256277,-0.0173207552613545,0.812764919189014,123,NA,NA,NA,NA,7301805,0
"E-CURD-62_A-AFFY-43-normalized-expressions.tsv","microarray",999,18106,999,999,0,0,0,0,0,0,0,NA,NA,NA,NA,2.65551860324093,2.68334203205747,1.40497308979773,3.88571386665413,0.224780733140109,0.00554073218845679,0.223445657309173,-0.748199494722277,-0.0711112654658322,0.752201959658004,0.0353816645300785,1.38024608550817,123,9.46993169931313,NA,0.00224155632432069,0.00043686722349258,0.85950782470034,123,NA,NA,NA,NA,16731212,0
"E-CURD-64_A-AFFY-43-normalized-expressions.tsv","microarray",846,18106,846,846,0,0,0,0,0,0,0,NA,NA,NA,NA,2.78293742133427,2.80592341262501,1.56643444997233,3.88242271609498,0.173749400151742,0.00563169439994162,0.177014102137057,-0.562931083540134,-0.127670409544691,0.735348159471392,0.086246366278884,1.29647185089819,123,6.12330930591353,NA,-0.0154718307399436,0.00324950962323222,0.883298689647764,123,NA,NA,NA,NA,14190160,0
"E-CURD-65_A-AFFY-43-normalized-expressions.tsv","microarray",519,18106,519,519,0,0,0,0,0,0,0,NA,NA,NA,NA,2.71999308604433,2.73754826941813,1.55276463942449,3.89598583282429,0.199946696612143,0.00504947458095609,0.194805117321876,-0.72292355188223,-0.017896480166582,0.696354246645881,0.089688877399861,1.23604128994548,123,6.45436274200225,NA,-0.0429667160887104,0.00876263203012855,0.826316964501927,123,NA,NA,NA,NA,8750423,0
"E-CURD-66_A-AFFY-43-normalized-expressions.tsv","microarray",942,18106,942,942,0,0,0,0,0,0,0,NA,NA,NA,NA,2.63093463190334,2.65437604091376,1.37098489820587,3.88585042063851,0.229563829207697,0.00573202377052145,0.228698713066536,-0.801837313354087,-0.0162338791016682,0.757325223694731,0.0447797034515039,1.30389409806704,123,9.22995686068154,NA,0.0136792386172301,-0.0014329474389261,0.849706455899728,123,NA,NA,NA,NA,15815864,0
"E-CURD-67_A-AFFY-43-normalized-expressions.tsv","microarray",954,18106,954,954,0,0,0,0,0,0,0,NA,NA,NA,NA,2.64828484420605,2.66438451966858,1.44808509308062,3.88152534796965,0.216224211751966,0.00533070544129487,0.214044642728306,-0.739129611652722,0.00402685756479027,0.578558314384921,0.130932379663709,0.942684034809332,123,5.70126112029913,NA,-0.0719052941133511,0.0139632157143054,0.866814862395737,123,NA,NA,NA,NA,16027457,0
"E-CURD-68_A-AFFY-43-normalized-expressions.tsv","microarray",192,18106,192,192,0,0,0,0,0,0,0,NA,NA,NA,NA,2.71821733946867,2.73768324722158,1.53670818025549,3.88855672122667,0.198162678306942,0.00588203015239171,0.193290626738025,-0.696209041419216,-0.0543560392413873,0.72969625506572,0.09372723543622,1.41050538906123,123,5.61493368527101,NA,0.0250051881848851,-0.0038131534325622,0.833550361136896,123,NA,NA,NA,NA,3257509,0
"E-CURD-69_A-AFFY-43-normalized-expressions.tsv","microarray",1353,18106,1353,1353,0,0,0,0,0,0,0,NA,NA,NA,NA,2.71172495085043,2.74315411475583,1.45565008802167,3.88743635907194,0.207949978323512,0.00574159850602477,0.206888917723192,-0.720167505245554,-0.117084721127634,0.769499588856525,0.0443582235151984,1.34813088617271,123,9.29007359478657,123,0.0731644875111389,-0.0127999496813603,0.8554410185747,123,NA,NA,NA,NA,22619852,0
"E-CURD-70_A-AFFY-43-normalized-expressions.tsv","microarray",942,18106,942,942,0,0,0,0,0,0,0,NA,NA,NA,NA,2.67672937284721,2.70985858284102,1.38768749785147,3.88559675008798,0.222043000042445,0.00546413653280933,0.220896601456095,-0.745457248594859,-0.104535161503432,0.745366965386096,0.0419066769696506,1.33318725356857,123,9.19003385840601,NA,-0.00252066089586888,0.00129621796948686,0.844201870514176,123,NA,NA,NA,NA,15823114,0
