"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"dataset2.tsv","~/Data/marbel",20,2790,1,20,0,95,32.8673835125448,34.9820788530466,34.0752688172043,67.7060931899642,100,0.649342017765921,0.00194709085024026,-0.864010588329588,0,3.08634850484876,2.8073549220576,0,14.4308445351052,5.82608920508299,1.26979844163768,5.82667204015325,0.121831076404205,0.683467955540687,0.108531981518759,0.0644576310709825,NA,123,0.123757339853291,NA,0.411286074213133,-0.0502836139027777,0.706391609962371,123,0.113279625985083,0.330077270077262,NA,20,1001,0
"gut.tsv","~/Data/marbel",20,406072,1,20,0,95,62.8001930692094,63.2986268445005,63.0447186705806,91.558393585374,100,0.867669172932331,0,-0.54289966485778,0,4.87200349322127,4.70043971814109,2,18.6269851889713,4.69033480669936,1.93705734479565,4.69337648742824,0.153875854855198,0.617071341957688,0.0888119959377059,0.0624254642477957,NA,123,0.0996403120311737,NA,1.45173649046924,-0.123704347651276,0.602044875534575,123,0.00618308100405918,0.148003625591774,NA,20,10040,0
"vagina.tsv","~/Data/marbel",20,767082,1,20,0,95,68.7434980875578,69.3541238094493,69.0651651322805,94.3949929733718,100,0.744360902255639,0.000253438166318075,-0.449799428678441,0,4.40566583073015,4.24792751344359,1.58496250072116,18.3122182352508,4.35041904847357,1.88378487322193,4.21997778139563,0.235502631388922,0.646575934679145,0.0889758077185401,0.0655846036663793,NA,123,0.0979623211018977,NA,1.55020188400301,-0.139904780642736,0.602528432258184,123,0.133337413384948,0.369881913367635,NA,20,8978,0
"vent_water.tsv","~/Data/marbel",20,141798,1,20,0,95,48.4858742718515,49.0147956952848,48.7964216702633,81.2952227817035,100,0.772932330827068,9.64370522147114e-05,-0.731402009905317,0,5.24763316823315,5.08746284125034,1.58496250072116,18.9272252968173,6.29750272397634,2,6.29604915572188,0.0944626928710255,0.536745998026935,0.0932236205089684,0.0603646811946025,NA,123,0.105431717372383,NA,0.669577228917748,-0.0627384199352122,0.598612781270431,123,0.0240818209587354,0.0837239058813222,NA,20,12565,0
